year,agency,n_resp,wt_sum,eei,eei_leaders,eei_supervisors,eei_intrinsic,gsi,pci,exi,pp_recommend,pp_job_sat,pp_pay_sat,pp_org_sat,pp_encouraged,pp_workload,pp_skills,pp_perf_diff,pp_sat_recog,pp_recog_quality,leave_no,leave_other,leave_within,leave_outside,leave_any,leave_n_valid,leave_missing_pct,leave2020pre_other,leave2020pre_within,leave2020pre_outside
2019,NF,865,1195.2,77.09,69.67,81.92,79.67,75.83,,,81.7,76.47,69.74,75.42,75.53,56.87,80.75,45.14,64.49,65.36,66.33,10.65,16.66,6.37,33.67,815,5.78,,,
2019,NL,768,1258.6,63.17,45.81,79.07,64.64,52.49,,,50.73,59.22,58.35,41.67,40.27,41.0,57.38,37.5,52.36,46.37,70.2,11.0,9.79,9.01,29.8,661,13.93,,,
2019,NN,10789,16690.4,83.0,75.33,88.49,85.18,81.46,,,87.56,83.91,74.08,80.29,83.38,68.9,86.41,57.17,72.53,78.69,79.26,9.48,7.21,4.05,20.74,10337,4.19,,,
2019,NQ,1697,2533.0,66.86,52.33,77.08,71.17,56.88,,,54.31,64.85,54.58,53.77,60.63,56.83,62.56,43.49,57.98,55.65,59.21,9.21,27.16,4.42,40.79,1625,4.24,,,
2019,NU,2174,2853.0,74.15,64.61,82.12,75.7,71.92,,,73.1,73.59,72.23,68.77,68.24,68.68,74.07,43.54,63.01,65.78,69.57,12.24,13.06,5.12,30.43,2082,4.23,,,
2019,NV,51318,177676.0,69.98,59.45,77.25,73.24,65.59,,,68.97,69.17,62.67,61.53,65.18,62.88,70.06,39.0,52.72,56.55,62.77,10.02,23.26,3.95,37.23,46875,8.66,,,
2019,OM,3049,5234.4,73.56,61.33,83.61,75.73,70.08,,,70.81,74.57,69.79,65.17,62.65,63.74,67.07,47.09,59.95,60.14,67.62,8.85,21.26,2.27,32.38,2887,5.31,,,
2019,RR,346,795.0,68.76,59.84,74.85,71.58,66.85,,,69.77,69.3,63.68,64.66,58.23,50.62,66.89,41.99,59.65,54.08,67.96,12.07,17.65,2.32,32.04,322,6.94,,,
2019,SB,1388,2001.7,69.57,58.75,75.76,74.2,67.55,,,64.27,71.96,69.34,64.64,64.06,60.49,62.16,42.55,57.55,53.61,63.73,11.92,20.79,3.55,36.27,1314,5.33,,,
2019,SE,3222,4274.5,76.11,67.22,83.44,77.66,75.44,,,83.56,78.24,63.76,76.21,66.87,72.72,75.96,34.46,59.75,61.09,80.15,6.84,4.25,8.75,19.85,3075,4.56,,,
2019,SK,357,467.1,66.0,50.94,77.21,69.84,62.52,,,63.32,64.94,63.69,58.11,60.21,62.32,65.77,39.13,54.28,55.95,57.95,10.55,29.57,1.93,42.05,343,3.92,,,
2019,SN,452,710.6,65.51,52.68,71.56,72.29,61.97,,,67.24,69.18,49.56,61.89,58.01,63.54,61.74,40.19,52.23,51.35,68.59,11.99,17.5,1.92,31.41,432,4.42,,,
2019,ST,9713,22511.9,68.14,53.99,78.09,72.35,66.48,,,69.5,69.18,67.94,59.3,62.45,51.64,71.01,39.66,53.26,58.76,69.73,9.44,12.69,8.13,30.27,8966,7.69,,,
